City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Longyan,CN,25.1072,117.0225,75.7,75,5,1.34,clear sky
261,Traian,RO,46.6333,27.0333,71.17,55,13,1.48,few clouds
262,Tezu,IN,27.9167,96.1667,78.6,75,100,2.13,overcast clouds
263,Lake Havasu City,US,34.4839,-114.3224,100.45,28,0,1.99,light rain
264,Correntina,BR,-13.3433,-44.6367,84.18,27,41,6.98,scattered clouds
265,Kesinga,IN,20.2,83.2333,77.49,90,100,5.17,overcast clouds
266,Asfi,MA,32.2994,-9.2372,78.55,70,97,15.39,overcast clouds
267,Mahibadhoo,MV,3.7833,72.9667,82.85,75,92,13.06,overcast clouds
268,Apucarana,BR,-23.5508,-51.4608,80.73,42,9,4.45,clear sky
269,Sao Domingos Do Maranhao,BR,-5.5758,-44.3853,93.24,28,65,4.65,broken clouds
270,Harper,LR,4.375,-7.7169,74.93,76,69,7.7,broken clouds
271,Cabo San Lucas,MX,22.8909,-109.9124,82.74,68,82,7.34,broken clouds
272,Nortelandia,BR,-14.4547,-56.8028,96.15,18,4,4.32,clear sky
273,Cidreira,BR,-30.1811,-50.2056,63.21,97,36,9.71,scattered clouds
274,Khakhea,BW,-24.6895,23.494,63.34,34,49,8.12,scattered clouds
275,Seydi,TM,39.4816,62.9137,91.89,25,0,12.12,clear sky
276,Whitehorse,CA,60.7161,-135.0538,60.06,43,95,3.69,overcast clouds
277,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,83,20,4.47,few clouds
278,Geraldton,AU,-28.7667,114.6,60.3,58,100,18.81,overcast clouds
279,Hasaki,JP,35.7333,140.8333,72.28,87,99,9.98,overcast clouds
280,San Andres,CO,12.5847,-81.7006,87.82,70,40,13.8,scattered clouds
281,Mendi,PG,-6.1761,143.6513,52.27,96,57,3.24,broken clouds
282,Nchelenge,ZM,-9.3451,28.734,69.66,50,31,4.27,scattered clouds
283,Senica,SK,48.6792,17.367,76.46,82,100,4.65,overcast clouds
284,Resistencia,AR,-27.4606,-58.9839,84.25,59,0,6.91,clear sky
285,Porterville,US,36.0652,-119.0168,100.76,10,0,6.91,clear sky
286,Sokoto,NG,13.0609,5.239,84.85,57,100,5.91,overcast clouds
287,Behshahr,IR,36.6923,53.5526,76.95,81,49,4.16,scattered clouds
288,Butembo,CD,0.15,29.2833,57.78,90,28,1.77,scattered clouds
289,Gravelbourg,CA,49.8834,-106.5512,71.87,42,20,14.05,few clouds
290,Pamekasan,ID,-7.1568,113.4746,76.6,85,99,3.74,overcast clouds
291,Qaanaaq,GL,77.484,-69.3632,37.78,98,100,2.95,overcast clouds
292,Barao De Melgaco,BR,-16.1944,-55.9675,97.32,17,34,0.43,scattered clouds
293,Oussouye,SN,12.485,-16.5469,78.13,87,82,7.02,light rain
294,Adelaide,AU,-34.9333,138.6,57.29,77,0,3.0,clear sky
295,Hamilton,US,39.1834,-84.5333,92.88,48,0,3.44,clear sky
296,Mae Sai,TH,20.4335,99.8762,71.15,97,95,0.78,overcast clouds
297,Oga,IT,46.4631,10.347,61.48,86,84,3.6,broken clouds
298,Constantine,DZ,36.365,6.6147,87.21,37,0,11.5,clear sky
299,Tsuruoka,JP,38.7217,139.8217,71.06,90,100,1.05,overcast clouds
300,Ponta Do Sol,PT,32.6667,-17.1,72.23,73,2,4.83,clear sky
